Config file:	 /home/jyang4/ProtTP/configs/VAE+AD_MSA.json
Save directory:	 /home/jyang4/ProtTP/saved/VAE+AD_MSA
Device:	 cuda:0
########## Experiment VAE+AD_MSA: ##########
Epoch[95/120], Reconst Loss: 0.3503, KL Div: 171.9247, Attribute Loss: 127.3083
Epoch[96/120], Reconst Loss: 0.3182, KL Div: 168.5176, Attribute Loss: 168.4966
Epoch[97/120], Reconst Loss: 0.4242, KL Div: 180.9604, Attribute Loss: 164.1921
Epoch[98/120], Reconst Loss: 0.2759, KL Div: 172.7269, Attribute Loss: 150.3655
Epoch[99/120], Reconst Loss: 0.3553, KL Div: 175.7433, Attribute Loss: 161.1510
Epoch[100/120], Reconst Loss: 0.3157, KL Div: 171.2184, Attribute Loss: 182.2979
Epoch[101/120], Reconst Loss: 0.3635, KL Div: 178.9610, Attribute Loss: 136.9303
Epoch[102/120], Reconst Loss: 0.3330, KL Div: 160.6546, Attribute Loss: 144.1986
Epoch[103/120], Reconst Loss: 0.2585, KL Div: 162.3978, Attribute Loss: 186.7949
Epoch[104/120], Reconst Loss: 0.3770, KL Div: 176.6836, Attribute Loss: 172.8891
Epoch[105/120], Reconst Loss: 0.2590, KL Div: 185.8665, Attribute Loss: 132.8721
Epoch[106/120], Reconst Loss: 0.3867, KL Div: 167.5639, Attribute Loss: 172.7995
Epoch[107/120], Reconst Loss: 0.3359, KL Div: 176.0578, Attribute Loss: 138.6507
Epoch[108/120], Reconst Loss: 0.2869, KL Div: 167.9997, Attribute Loss: 144.4426
Epoch[109/120], Reconst Loss: 0.2838, KL Div: 182.9680, Attribute Loss: 153.6037
Epoch[110/120], Reconst Loss: 0.3419, KL Div: 186.6116, Attribute Loss: 150.6597
Epoch[111/120], Reconst Loss: 0.3350, KL Div: 159.9628, Attribute Loss: 171.1693
Epoch[112/120], Reconst Loss: 0.4219, KL Div: 166.6741, Attribute Loss: 181.2014
Epoch[113/120], Reconst Loss: 0.3533, KL Div: 159.3184, Attribute Loss: 167.4226
Epoch[114/120], Reconst Loss: 0.3674, KL Div: 169.8466, Attribute Loss: 147.1590
Epoch[115/120], Reconst Loss: 0.3755, KL Div: 161.2711, Attribute Loss: 158.6572
Epoch[116/120], Reconst Loss: 0.2942, KL Div: 184.7756, Attribute Loss: 143.2581
Epoch[117/120], Reconst Loss: 0.3543, KL Div: 174.0598, Attribute Loss: 135.5977
Epoch[118/120], Reconst Loss: 0.3996, KL Div: 167.0997, Attribute Loss: 183.6782
Epoch[119/120], Reconst Loss: 0.3886, KL Div: 180.7811, Attribute Loss: 157.9181
Epoch[120/120], Reconst Loss: 0.2797, KL Div: 163.4374, Attribute Loss: 150.4313
#################### Feature Extraction ####################
Saved Features: /home/jyang4/ProtTP/saved/VAE+AD_MSA/embeddings.npy
Saved Reconstructions: /home/jyang4/ProtTP/saved/VAE+AD_MSA/reconstructions.csv
Saved Features: /home/jyang4/ProtTP/saved/VAE+AD_MSA/MSAembeddings.npy
Saved Reconstructions: /home/jyang4/ProtTP/saved/VAE+AD_MSA/MSAreconstructions.csv
